time,ir,red,bpm,hrv,spo2,fingerDetected,hrvReady,beatQuality
0,87163,41614,66,47,97,1,0,21.036408196333145
10,88388,42193,71,42,97,1,0,27.465207961805568
20,90533,43561,77,47,97,1,0,27.211865200936167
30,91141,43785,70,42,97,1,0,18.743387187527674
40,93530,44872,70,44,97,1,0,27.957306335641068
50,94024,44981,79,51,97,1,0,21.83724202209822
60,96319,46493,75,47,97,1,0,19.73273327110856
70,95543,46271,70,63,97,1,0,23.453592661426814
80,99441,47831,76,42,97,1,0,21.122586831358348
90,99452,47392,72,46,97,1,0,20.506519255010026
100,100019,47898,72,56,97,1,0,21.294882628047155
110,101401,48928,72,45,97,1,0,20.692494417959058
120,102765,48968,68,33,97,1,0,20.13353389862478
130,101597,49336,70,44,97,1,0,24.81234863669993
140,102855,49557,69,47,97,1,0,21.618694882639648
150,102712,49350,68,40,97,1,0,23.872957078186698
160,104100,50160,70,46,97,1,0,22.799422109843487
170,105143,50729,69,53,97,1,0,20.03466531211162
180,105349,50626,74,54,97,1,0,27.731553911763996
190,103792,50025,71,53,97,1,0,21.166709757531184
200,104416,50609,71,32,97,1,0,23.34119873051267
210,104567,50052,68,50,97,1,0,22.90530185153714
220,104059,50127,70,50,97,1,0,25.034423313384345
230,104061,50312,70,44,97,1,0,23.388661573573405
240,104252,49577,71,44,97,1,0,21.849965787858796
250,101986,48910,71,53,97,1,0,21.89225206641288
260,102338,48528,71,38,97,1,0,25.86650012685896
270,101174,48195,73,32,97,1,0,28.387939000908872
280,98306,47852,77,46,97,1,0,20.981597762041968
290,98051,47225,77,46,97,1,0,23.28504208745682
300,97669,46809,74,51,97,1,0,21.42414766639091
310,96589,46742,73,50,97,1,0,31.249073520662563
320,97433,47025,70,46,97,1,0,19.060660854828374
330,94902,45131,73,44,97,1,0,26.666342811939913
340,92505,44706,75,48,97,1,0,23.920031946278975
350,93640,44901,73,50,97,1,0,27.5721706346325
360,92808,44596,69,45,97,1,0,23.437927107320554
370,89666,43165,73,35,97,1,0,22.972965512341286
380,83094,39927,79,36,97,1,0,25.1790965543436
390,86525,41846,73,35,97,1,0,16.976950013291557
400,86666,41906,69,36,97,1,0,23.430573008593452
410,83993,39690,72,43,97,1,0,20.570880093283886
420,83883,40695,71,37,97,1,0,17.25363131889932
430,80370,38327,73,27,97,1,0,27.6501041498651
440,78439,37961,73,40,97,1,0,21.302572825933716
450,78240,37523,73,38,97,1,0,19.849185349015514
460,78515,37555,70,41,97,1,0,20.182206449533307
470,74639,35949,73,41,97,1,0,25.147168458758188
480,73563,35336,74,50,97,1,0,19.68898169519135
490,73354,35155,71,51,97,1,0,23.72521637025139
500,68028,32826,79,43,97,1,0,19.491769152930058
510,72681,34837,70,46,97,1,0,24.24332523133974
520,70094,33668,73,44,97,1,0,19.887128576218934
530,72957,34770,68,46,97,1,0,25.549834674555132
540,68109,32848,71,47,97,1,0,25.212704424336394
550,70565,33991,68,59,97,1,0,18.670494178791657
560,67704,32756,74,39,97,1,0,16.7957561485525
570,65926,31466,73,41,97,1,0,20.912675634627156
580,66715,31859,73,37,97,1,0,17.679925350159408
590,66943,32581,71,51,97,1,0,19.393836597837552
600,67854,32861,66,45,97,1,0,20.4090094947243
610,65974,31846,70,35,97,1,0,23.834370181980386
620,67014,31923,74,42,97,1,0,23.85998107090636
630,67288,32501,73,39,97,1,0,24.085096327714666
640,65992,31988,68,40,97,1,0,22.95468576513858
650,68217,33169,72,34,97,1,0,19.211365377591516
660,69352,33553,74,45,97,1,0,21.191816489146085
670,71974,34910,76,44,97,1,0,24.402892494327176
680,68362,32799,69,45,97,1,0,26.160773986222793
690,75641,35997,77,43,97,1,0,24.12095805023434
700,66592,31990,67,45,97,1,0,16.63381745801832
710,71180,34087,70,52,97,1,0,23.444511022388816
720,75167,36464,74,32,97,1,0,23.169695361585227
730,72554,34932,71,53,97,1,0,21.173495174370828
740,76074,36349,72,45,97,1,0,20.355040843026988
750,73994,35450,70,51,97,1,0,17.173669966739773
760,78630,37742,72,60,97,1,0,22.813909363776236
770,84326,40759,74,37,97,1,0,22.950199644239074
780,79500,37793,71,54,97,1,0,16.733584411963093
790,83937,40206,72,47,97,1,0,25.245389723527545
800,86072,41381,74,47,97,1,0,27.83821048406823
810,86514,40975,73,47,97,1,0,21.792847914468997
820,90297,43636,74,48,97,1,0,23.787523429044878
830,85372,40629,70,43,97,1,0,22.51253382680684
840,87983,41951,70,64,97,1,0,25.11691967258164
850,97054,46676,76,46,97,1,0,21.423214937666092
860,91193,43090,71,41,97,1,0,24.741001238592467
870,95563,45776,73,45,97,1,0,18.60987323883333
880,92738,44616,70,42,97,1,0,22.456494783925535
890,91988,44532,68,47,97,1,0,20.929854868147288
900,93296,44803,69,46,97,1,0,24.02098936883959
910,94703,46049,70,45,97,1,0,20.461730431429494
920,93468,45289,68,39,97,1,0,18.307632499556956
930,100148,47548,71,43,97,1,0,31.320407152902085
940,97834,47270,69,55,97,1,0,27.200316568739545
950,103116,49669,72,40,97,1,0,22.74846190304056
960,102970,49373,71,47,97,1,0,19.44962888394813
970,105786,50923,74,32,97,1,0,19.353087218568824
980,105827,50890,75,42,97,1,0,20.281613467711885
990,98353,47976,66,49,97,1,0,19.562931825010565
1000,105964,50604,75,55,97,1,1,24.70101575263733
1010,104859,50153,72,45,97,1,1,20.369609933408935
1020,104558,50259,70,42,97,1,1,22.743855106829077
1030,107556,51390,70,48,97,1,1,23.1997373614258
1040,106653,51064,73,53,97,1,1,25.951449987639975
1050,104748,50029,70,33,97,1,1,22.198613732612937
1060,104843,50021,67,42,97,1,1,16.624292288108272
1070,106417,51755,67,54,97,1,1,22.871628192228442
1080,104406,49982,70,36,97,1,1,20.447192128113354
1090,105946,50579,70,55,97,1,1,23.548966770222364
1100,101976,48438,72,39,97,1,1,20.07959356057723
1110,102602,49223,71,42,97,1,1,23.600520704242726
1120,98082,46725,73,51,97,1,1,21.570567895986393
1130,102812,49533,70,38,97,1,1,25.919266325475064
1140,98600,47059,72,43,97,1,1,21.66069870571626
1150,95954,46511,72,56,97,1,1,20.53039625845776
1160,96771,46090,72,41,97,1,1,22.69734485027613
1170,94982,45865,72,36,97,1,1,22.943205070363128
1180,96226,46137,70,46,97,1,1,24.9410582870173
1190,94873,45473,70,50,97,1,1,22.4683383881824
1200,95882,46004,70,46,97,1,1,21.434231194436205
1210,89903,43439,71,49,97,1,1,20.708751442628003
1220,78020,37563,76,42,97,1,1,16.16938152597585
1230,74739,35732,76,39,97,1,1,21.47141824601378
1240,78115,37278,75,53,97,1,1,22.518010336352184
1250,90359,43328,69,44,97,1,1,20.253058100813888
1260,80856,38656,72,46,97,1,1,26.678458447682075
1270,74643,36431,74,42,97,1,1,22.598802949632105
1280,76920,36249,73,37,97,1,1,25.25271995019094
1290,83770,40439,70,28,97,1,1,23.30237824834647
1300,74617,35783,73,42,97,1,1,22.354622315252325
1310,83366,40143,68,48,97,1,1,26.17862523567617
1320,72058,34355,73,50,97,1,1,21.989276865285696
1330,80284,38291,69,33,97,1,1,17.260615946551628
1340,72307,34293,71,49,97,1,1,26.282247631421534
