time,ir,red,bpm,hrv,spo2,fingerDetected,hrvReady,beatQuality
0,87113,41420,68,45,97,1,0,22.33291154158788
10,87921,42452,67,44,97,1,0,24.26878057741132
20,89809,43401,73,37,97,1,0,19.217351932433132
30,91362,43825,75,51,97,1,0,19.809561955097564
40,93694,45208,74,51,97,1,0,23.64530746047399
50,94447,45689,75,42,97,1,0,20.03048512296022
60,95534,46783,73,37,97,1,0,27.678751971246694
70,97134,46529,73,42,97,1,0,18.536995427232775
80,97331,47092,72,36,97,1,0,22.30555531952379
90,99997,47961,73,44,97,1,0,19.027273325321918
100,99777,47624,74,48,97,1,0,23.955912613107806
110,100415,48155,71,42,97,1,0,21.614408100937403
120,101415,48719,66,45,97,1,0,27.51084665811365
130,102248,48852,73,35,97,1,0,21.008164538741696
140,103847,50090,75,43,97,1,0,23.495094204943417
150,104054,49745,77,37,97,1,0,24.336594956035537
160,104631,50630,73,49,97,1,0,19.778576779130024
170,104516,49873,76,34,97,1,0,20.875759809106295
180,104958,50027,70,43,97,1,0,17.332692705202227
190,104310,49996,71,52,97,1,0,27.73235768096976
200,104711,50080,68,48,97,1,0,20.48908694228082
210,105122,50195,73,53,97,1,0,25.635691826996705
220,103168,49060,77,44,97,1,0,25.148486888739285
230,104042,49561,70,41,97,1,0,21.075235683736857
240,102966,48841,75,56,97,1,0,18.554572544905895
250,102885,49092,73,45,97,1,0,22.47308758155922
260,103144,49457,70,48,97,1,0,17.877288275964137
270,100949,48969,71,52,97,1,0,23.61304015470798
280,101331,48347,72,50,97,1,0,16.606383842830308
290,99647,47935,69,45,97,1,0,23.13304970581458
300,100404,47967,68,45,97,1,0,25.86395094202936
310,97348,46237,71,36,97,1,0,18.0104943757773
320,94705,45563,76,35,97,1,0,25.954375175126955
330,96185,46149,70,55,97,1,0,23.609883950526246
340,92937,44293,74,37,97,1,0,23.192439372819734
350,95060,45697,70,44,97,1,0,29.344024643190735
360,91676,44387,71,46,97,1,0,21.918847068773122
370,93069,44559,68,50,97,1,0,25.59957004327045
380,89224,42700,71,46,97,1,0,19.324452311335165
390,85841,41474,72,53,97,1,0,27.213932258044743
400,86255,41867,70,33,97,1,0,21.12052030856345
410,86862,41738,69,46,97,1,0,24.91334946720969
420,79669,38339,74,33,97,1,0,22.34978772904979
430,80362,38922,73,53,97,1,0,22.256785953334965
440,80148,38383,72,54,97,1,0,22.925847797946552
450,82878,39797,68,46,97,1,0,19.386426582628708
460,78222,37650,70,49,97,1,0,23.32120335410183
470,78058,37812,70,44,97,1,0,22.30819101830405
480,73705,35660,74,52,97,1,0,21.315247658339306
490,70573,34205,75,40,97,1,0,21.0512260817199
500,72826,35331,72,49,97,1,0,18.53861216353429
510,73092,34757,70,48,97,1,0,25.075143607537317
520,67424,32096,76,36,97,1,0,26.71878294709708
530,69847,33623,71,47,97,1,0,20.93973695168143
540,68337,32818,76,49,97,1,0,27.106116887272464
550,68684,32432,72,47,97,1,0,22.486106697059657
560,68106,32650,72,61,97,1,0,19.013182247790084
570,67082,31980,73,41,97,1,0,23.301783862555734
580,66987,32659,69,48,97,1,0,23.470297044701642
590,66055,31589,74,32,97,1,0,26.941170253749267
600,67511,32336,69,36,97,1,0,22.101677706364075
610,67468,32027,71,49,97,1,0,17.484171265873584
620,65649,31167,70,52,97,1,0,16.284876209368278
630,66935,31623,66,45,97,1,0,25.4558400623713
640,66652,31785,68,60,97,1,0,18.882588616653724
650,68586,32333,74,50,97,1,0,23.261975348790063
660,69205,33219,73,49,97,1,0,22.338489604000298
670,67991,32068,70,56,97,1,0,23.137591825783115
680,68141,32780,68,48,97,1,0,23.285708497734984
690,70741,34392,72,37,97,1,0,18.24050819202286
700,70395,33683,71,47,97,1,0,20.21019380975719
710,67882,32548,67,48,97,1,0,18.293558438568255
720,78172,37607,75,46,97,1,0,19.85433218544353
730,74791,36161,73,43,97,1,0,21.055502879444724
740,71614,34230,68,45,97,1,0,19.36336011471733
750,73328,35100,69,39,97,1,0,19.86711093213586
760,78175,37958,71,51,97,1,0,28.493055168266366
770,85939,41074,76,44,97,1,0,17.81613439658711
780,79908,37876,71,53,97,1,0,23.701179991081084
790,80608,39063,70,47,97,1,0,21.293897716822844
800,78290,37600,67,45,97,1,0,18.458693097186682
810,82500,39466,70,43,97,1,0,21.44533641299814
820,87685,41968,72,58,97,1,0,21.16847757384479
830,85452,41056,70,38,97,1,0,20.154550114198603
840,84554,40902,69,41,97,1,0,25.251083194272407
850,94928,45235,74,48,97,1,0,18.625482393764067
860,85128,40728,67,51,97,1,0,21.787112028905376
870,89070,43216,69,54,97,1,0,21.622826945005492
880,91451,44149,69,39,97,1,0,22.167368965428686
890,92790,44102,70,53,97,1,0,21.458633227204718
900,99231,47788,73,50,97,1,0,22.922140322359528
910,92804,44473,68,37,97,1,0,23.216446129620685
920,103566,49796,75,49,97,1,0,22.747318792516037
930,99845,48281,71,55,97,1,0,26.695927341955887
940,101612,48642,72,52,97,1,0,24.41039524710946
950,98026,47359,68,53,97,1,0,24.50599062946804
960,101579,48663,70,41,97,1,0,24.117814324514207
970,104531,50071,72,45,97,1,0,21.94022356184877
980,103271,49513,72,47,97,1,0,22.55689833151737
990,103678,49436,69,52,97,1,0,17.116163291470595
1000,106034,51589,71,34,97,1,1,25.280600673018156
1010,104791,50220,70,44,97,1,1,19.82684219107827
1020,105140,50165,75,35,97,1,1,23.6071330536001
1030,105425,50933,72,56,97,1,1,18.570611354614314
1040,104775,50064,72,55,97,1,1,20.898139332250977
1050,105394,50576,71,55,97,1,1,20.9294088333821
1060,103113,48911,74,51,97,1,1,26.954271062401645
1070,104388,50363,65,38,97,1,1,25.00160387095213
1080,104481,50144,71,48,97,1,1,23.56006591412631
1090,104238,50244,68,37,97,1,1,21.174184143268583
1100,103181,49553,71,51,97,1,1,19.107466720138007
1110,99924,47854,73,48,97,1,1,18.34186664217395
1120,105650,50833,66,44,97,1,1,19.76384037720431
1130,99640,47611,72,49,97,1,1,23.027310441498628
1140,92300,43693,75,51,97,1,1,20.159953798673367
1150,92143,44285,74,34,97,1,1,22.36843641144668
1160,91067,43502,75,45,97,1,1,17.20115675409847
1170,97063,46562,71,52,97,1,1,24.05856927062226
1180,96990,45809,70,56,97,1,1,17.761222972708595
1190,92456,44156,71,53,97,1,1,21.743056612947566
1200,101719,49133,66,30,97,1,1,25.341525270162457
1210,91654,44143,71,51,97,1,1,24.722625012807473
1220,86450,41665,73,62,97,1,1,26.036405325041585
1230,84394,40232,73,43,97,1,1,22.80391434155435
1240,84912,41023,72,49,97,1,1,20.79154288404864
1250,85358,41243,71,38,97,1,1,22.945219322967972
1260,80227,38221,73,48,97,1,1,21.890932657311772
1270,79564,38434,72,41,97,1,1,23.090736683164117
1280,82203,39638,71,28,97,1,1,20.016820293668857
1290,77147,36447,72,32,97,1,1,25.356586664168052
1300,76938,37255,71,40,97,1,1,21.06267257316141
1310,73723,35111,72,49,97,1,1,22.57140387843531
1320,75342,36478,71,37,97,1,1,22.435873594744404
1330,73019,34556,72,33,97,1,1,21.023976944864394
1340,71441,34436,72,43,97,1,1,20.95459532442474
1350,69765,33750,73,31,97,1,1,20.882290011163605
1360,84985,40960,65,44,97,1,1,23.06099114022991
1370,71488,34787,70,43,97,1,1,21.063269768965913
1380,69197,32592,71,42,97,1,1,19.968585146284823
1390,65742,31178,72,46,97,1,1,19.698455235786497
1400,71398,34687,69,53,97,1,1,22.05785897134201
1410,66255,32068,74,45,97,1,1,23.04689973008388
1420,71379,34481,77,46,97,1,1,26.20227324139701
1430,64690,31173,71,41,97,1,1,22.711826288486552
1440,66568,32578,71,38,97,1,1,21.20978257791684
1450,75910,36428,77,51,97,1,1,21.871315349631843
1460,66973,32225,72,47,97,1,1,24.9030053011639
1470,65720,31582,71,47,97,1,1,21.026978849510563
1480,67353,32377,72,31,97,1,1,25.42297706676416
1490,68816,32894,72,43,97,1,1,18.614651294988498
1500,71815,34525,73,39,97,1,1,20.66327612368451
1510,68184,32663,70,48,97,1,1,23.829882051082286
1520,72852,35592,73,41,97,1,1,26.59014929028454
1530,69544,33515,71,41,97,1,1,25.008833928325608
1540,78580,38423,74,39,97,1,1,19.082547830896225
1550,68492,33352,69,47,97,1,1,22.217445825148268
1560,66951,32242,68,46,97,1,1,20.221198799724736
1570,80720,39401,74,46,97,1,1,23.273285664746915
1580,68545,32906,68,34,97,1,1,19.197942301218657
1590,82891,40275,74,50,97,1,1,26.24817438915602
1600,76836,36277,71,51,97,1,1,21.608738270191573
1610,90984,44321,75,36,97,1,1,23.468310245534482
1620,87356,41736,73,42,97,1,1,25.091588179652476
1630,79395,37715,71,43,97,1,1,21.519743257406045
1640,82454,39742,71,50,97,1,1,24.424013045906136
1650,77028,37268,69,47,97,1,1,20.311601089990496
1660,66835,32167,64,34,97,1,1,29.729281307176862
1670,71442,34314,66,41,97,1,1,20.05309093362476
1680,87889,41911,71,56,97,1,1,24.346851240397143
1690,81281,39196,68,47,97,1,1,26.10216175465932
1700,102662,48824,76,44,97,1,1,22.935151507575426
1710,97381,47070,73,47,97,1,1,22.144421055814124
1720,99710,48046,73,42,97,1,1,25.99683699545001
1730,89607,42769,69,34,97,1,1,22.353656229577478
1740,91267,43521,70,50,97,1,1,24.23156579044587
1750,96530,45500,71,31,97,1,1,17.0464480632674
1760,99865,47960,71,39,97,1,1,24.607153943091866
1770,96971,46594,70,47,97,1,1,21.990166697275175
1780,99751,47819,71,40,97,1,1,23.088810971715322
