time,ir,red,bpm,hrv,spo2,fingerDetected,hrvReady,beatQuality
0,91277,43928,92,14,95,1,0,21.773369614206764
10,91977,43789,91,10,95,1,0,18.629660917642262
20,95304,45485,97,23,95,1,0,23.684096817342667
30,95827,46140,94,14,95,1,0,23.71584805267329
40,97945,47036,99,12,95,1,0,28.519755382505622
50,100016,47901,90,18,95,1,0,21.179955237321394
60,100037,48012,90,11,95,1,0,18.968767931242166
70,103062,49695,90,19,95,1,0,23.954236921481137
80,103902,50123,88,10,95,1,0,25.047031896022954
90,104543,49865,95,15,95,1,0,20.94881060610071
100,104612,50546,92,12,95,1,0,18.302667101767483
110,107415,51338,89,25,95,1,0,21.582392853204617
120,106826,50918,97,20,95,1,0,24.682771826660396
130,108252,52071,96,22,95,1,0,21.908682968995375
140,106692,51491,87,19,95,1,0,25.04544127025468
150,106875,51191,99,13,95,1,0,21.347625223774926
160,108565,52056,96,13,95,1,0,17.046497294855406
170,108890,52322,89,14,95,1,0,22.357052618600314
180,107690,52185,91,13,95,1,0,24.307243912842168
190,105061,50413,96,14,95,1,0,21.44388602273186
200,104040,50236,96,16,95,1,0,24.93746489645218
210,104497,50000,95,11,95,1,0,26.601439068155607
220,103803,50010,95,16,95,1,0,22.38542388367929
230,101502,48816,93,10,95,1,0,25.30972975262131
240,102607,49541,87,16,95,1,0,21.05122270704058
250,100861,48173,88,10,95,1,0,24.245455426294075
260,98963,47323,89,10,95,1,0,19.626987220176833
270,97487,46350,90,16,95,1,0,17.813776533016995
280,92078,43955,93,14,95,1,0,25.406801063639357
290,89707,43015,100,19,95,1,0,21.665783394297243
300,87443,41756,98,10,95,1,0,17.5649895956615
310,83224,39592,101,13,95,1,0,21.43516154332025
320,87603,41386,94,17,95,1,0,23.794426067428
330,86150,41441,93,10,95,1,0,24.911082967250525
340,82114,39786,93,14,95,1,0,16.373379630208667
350,82481,38758,94,10,95,1,0,26.0934296928674
360,80212,38729,91,15,95,1,0,20.135301881402746
370,80873,38107,90,11,95,1,0,19.63047870351836
380,75317,36364,94,20,95,1,0,21.201983144021277
390,71476,34221,101,20,95,1,0,19.510804953472572
400,73310,35078,93,13,95,1,0,23.85148855461965
410,71537,34685,93,13,95,1,0,21.548887981824052
420,70973,33971,92,13,95,1,0,19.56368500287163
430,70724,33713,98,20,95,1,0,20.794282686590414
440,72359,34399,90,17,95,1,0,21.944133551711626
450,70475,33954,87,21,95,1,0,21.586050423020154
460,68456,33081,98,15,95,1,0,22.925930202929973
470,69372,33234,95,23,95,1,0,17.962289344132717
480,70553,33516,91,14,95,1,0,23.885592297109607
490,69072,33226,91,13,95,1,0,23.161084396180183
500,68305,32534,88,20,95,1,0,20.996750676927604
510,72874,34499,94,11,95,1,0,21.109048396692227
520,70986,33991,92,15,95,1,0,12.938094617103513
530,71100,34146,90,14,95,1,0,23.63664327223975
540,75209,36349,95,15,95,1,0,20.565243308475285
550,77774,37321,95,19,95,1,0,19.58227063804929
560,76471,36937,92,20,95,1,0,21.942966740427526
570,78287,37653,94,10,95,1,0,22.300686998989555
580,77560,37403,92,20,95,1,0,20.44455041301797
590,82599,39680,94,22,95,1,0,24.057495884164492
600,86700,42354,95,10,95,1,0,19.95324541233492
610,82764,39215,90,16,95,1,0,27.360287826461995
620,89201,42590,94,17,95,1,0,23.780388434629668
630,83356,39882,90,22,95,1,0,19.03989555229867
640,98110,47022,98,18,95,1,0,22.156612852025983
650,89152,42825,90,19,95,1,0,20.02372454624826
660,96109,46319,94,10,95,1,0,25.689079997540453
670,96492,45965,94,17,95,1,0,17.186357946281845
680,105718,50563,101,17,95,1,0,21.183183982113064
690,97720,46924,91,11,95,1,0,22.40178827242967
700,104384,49973,97,17,95,1,0,22.55716663818877
710,97674,46598,89,10,95,1,0,19.433807367791676
720,106672,51361,96,20,95,1,0,22.80436349915995
730,106256,50969,95,10,95,1,0,24.914785376478285
740,108742,51890,97,18,95,1,0,19.45099691572142
750,108686,52180,97,16,95,1,0,17.90607292190689
760,107428,51187,93,21,95,1,0,24.108643682849113
770,109712,52529,96,11,95,1,0,26.73607899834206
780,108173,51807,92,10,95,1,0,19.153478200547752
790,106502,51541,99,15,95,1,0,20.205645842887073
800,107664,51557,93,12,95,1,0,24.250277239642244
810,108695,52400,89,10,95,1,0,25.547009240120843
820,106273,50874,95,11,95,1,0,19.541823128436825
830,104234,50108,96,17,95,1,0,22.52748471780217
840,108552,52259,91,19,95,1,0,22.723668913322776
850,107821,51664,92,13,95,1,0,24.364109623456862
860,104999,50507,91,16,95,1,0,23.22208190926146
870,101407,48390,95,18,95,1,0,23.471134767079402
880,105447,50304,91,18,95,1,0,19.89643579784621
890,99578,47959,93,11,95,1,0,20.95532079293507
900,102614,49111,91,11,95,1,0,24.843285415558192
910,96206,45971,94,24,95,1,0,24.986880358541725
920,96761,46881,92,10,95,1,0,22.14574391597875
930,81387,39461,99,15,95,1,0,19.418855822468494
940,89629,43241,94,12,95,1,0,21.869490976697563
950,86594,40950,94,13,95,1,0,22.4247247545725
960,82767,39882,95,10,95,1,0,23.878404899516404
970,80767,38596,96,19,95,1,0,15.795001152658791
980,84866,40494,92,22,95,1,0,24.96892237775666
990,72203,34332,98,10,95,1,0,23.814460105764077
1000,84947,40462,91,15,95,1,1,24.621596796212785
1010,71521,34603,98,15,95,1,1,23.868318279170825
1020,72336,34723,97,16,95,1,1,25.356330755633547
1030,70604,34001,98,25,95,1,1,23.22249712773462
1040,76090,36630,92,19,95,1,1,20.584034829774037
1050,80705,38728,88,18,95,1,1,25.06650079294092
1060,76377,36443,90,22,95,1,1,18.16284697685941
1070,69561,33197,97,19,95,1,1,25.896267109734268
1080,69768,33420,95,20,95,1,1,21.866990214842225
1090,70119,33382,92,10,95,1,1,20.980035027762437
1100,72680,34515,98,20,95,1,1,19.956093837898727
1110,70732,33621,93,12,95,1,1,20.91733686478414
1120,73355,35081,97,18,95,1,1,21.49274189813992
1130,70470,33881,92,14,95,1,1,24.27096426820173
1140,69840,33638,90,20,95,1,1,21.02771038107311
1150,72181,33952,94,19,95,1,1,22.202750637198776
1160,73307,35099,95,14,95,1,1,24.16434734889477
1170,69869,33681,91,19,95,1,1,26.11486153294977
1180,76910,37154,94,11,95,1,1,16.20026681684105
1190,77630,37204,93,18,95,1,1,22.777980772743312
1200,73851,35343,92,10,95,1,1,23.968579233321194
1210,84640,40441,96,15,95,1,1,23.006306160334162
1220,80186,38380,93,15,95,1,1,24.479209086798214
1230,77455,37233,91,20,95,1,1,22.193508331342603
1240,83484,40256,93,18,95,1,1,19.29391984155664
1250,86860,41553,94,16,95,1,1,22.967701605481743
1260,73559,34969,86,20,95,1,1,19.444482500758355
1270,83897,39979,91,13,95,1,1,20.760793152223467
1280,91564,43828,94,11,95,1,1,22.55230507952589
1290,96515,46198,94,14,95,1,1,22.192085361436536
1300,94004,45129,93,17,95,1,1,21.03617126231802
1310,95743,45796,93,25,95,1,1,22.413537613075622
1320,101729,48475,95,12,95,1,1,27.564650644540894
1330,103497,49888,95,19,95,1,1,25.228724025513895
1340,102544,49314,95,13,95,1,1,22.117548724744513
1350,103778,49375,94,19,95,1,1,12.860972993938933
1360,101700,48754,92,14,95,1,1,23.158459961072715
1370,104548,49979,93,15,95,1,1,18.499847523206057
1380,107519,51604,95,18,95,1,1,27.117936684027615
1390,108771,52150,93,15,95,1,1,21.36409921509084
1400,109059,52125,95,20,95,1,1,25.680644406781752
1410,108017,51674,93,17,95,1,1,23.372524220490327
1420,108347,52278,95,18,95,1,1,21.338410722984865
1430,109850,52293,93,14,95,1,1,23.134962976670796
1440,101246,48873,87,14,95,1,1,21.64892122714012
1450,106808,51235,94,17,95,1,1,26.287133299145218
1460,105474,50536,88,19,95,1,1,23.43559651139832
1470,103804,49215,95,15,95,1,1,24.879273198462315
1480,109005,52242,92,16,95,1,1,18.56240551232748
1490,104705,50197,93,18,95,1,1,23.467600294927443
1500,108422,51598,90,13,95,1,1,21.713310914322413
1510,94413,45201,96,15,95,1,1,21.294695347893235
1520,107862,51631,90,14,95,1,1,25.03170157798122
1530,104790,49983,91,20,95,1,1,23.74372160307155
1540,98041,47167,93,17,95,1,1,26.02525724516414
1550,97535,47050,93,12,95,1,1,23.67174904098457
1560,100755,48382,91,10,95,1,1,18.962582334531568
1570,92132,44386,93,13,95,1,1,18.254564217234993
1580,88859,43215,94,13,95,1,1,21.720938390261335
1590,95716,46018,91,15,95,1,1,25.225875488152813
1600,85326,40652,94,12,95,1,1,22.72563341415401
1610,75842,36748,96,13,95,1,1,25.6905003970264
1620,90017,43216,91,18,95,1,1,15.952955716983745
1630,73372,35057,96,17,95,1,1,23.946694400128077
1640,73957,35525,95,15,95,1,1,17.521113716273256
1650,90491,43886,89,20,95,1,1,22.840611767039633
1660,73000,34933,102,13,95,1,1,27.843863691506783
1670,68264,32822,96,13,95,1,1,20.274944976354046
1680,69987,33545,96,10,95,1,1,18.184842900382066
1690,69639,32999,96,17,95,1,1,18.401301414935766
1700,68574,33062,98,19,95,1,1,22.12419714734761
1710,76696,36869,91,17,95,1,1,22.128308549009986
1720,68532,32447,94,17,95,1,1,20.221274687248112
1730,70268,33614,93,18,95,1,1,16.38760111180156
1740,70043,34064,94,18,95,1,1,23.36981181156601
1750,70648,33836,93,20,95,1,1,22.82799524485957
1760,69451,33349,94,10,95,1,1,25.089646878679112
1770,70751,33799,95,16,95,1,1,23.798122944091524
1780,74108,35323,95,24,95,1,1,15.115280008138217
1790,78906,37987,97,10,95,1,1,22.01981680997974
1800,69522,33602,92,14,95,1,1,24.09005781005987
1810,71582,34291,93,10,95,1,1,21.567640201065817
