time,ir,red,bpm,hrv,spo2,fingerDetected,hrvReady,beatQuality
119003,180762,150436,84.0,9.26,95,1,1,60.25
119023,180656,150453,84.0,9.26,95,1,1,60.22
119053,180658,150355,84.0,9.26,95,1,1,60.22
119073,180693,150386,88.0,9.35,95,1,1,60.23
119103,180719,150416,88.0,9.35,95,1,1,60.24
119123,180676,150391,88.0,9.35,95,1,1,60.23
119153,180710,150412,88.0,9.35,95,1,1,60.24
119173,180730,150362,88.0,9.35,95,1,1,60.24
119203,180692,150411,88.0,9.35,95,1,1,60.23
119223,180693,150353,88.0,9.35,95,1,1,60.23
119253,180701,150381,88.0,9.35,95,1,1,60.23
119272,180642,150364,88.0,9.35,95,1,1,60.21
119302,180700,150369,88.0,9.35,95,1,1,60.23
119322,180707,150428,88.0,9.35,95,1,1,60.24
119352,180692,150351,88.0,9.35,95,1,1,60.23
119372,180649,150371,88.0,9.35,95,1,1,60.22
119402,180723,150373,88.0,9.35,95,1,1,60.24
119422,180662,150382,88.0,9.35,95,1,1,60.22
119452,180686,150371,88.0,9.35,95,1,1,60.23
119472,180652,150449,88.0,9.35,95,1,1,60.22
119502,180675,150377,88.0,9.35,95,1,1,60.22
119522,180647,150355,88.0,9.35,95,1,1,60.22
119552,180684,150429,88.0,9.35,95,1,1,60.23
119572,180649,150387,88.0,9.35,95,1,1,60.22
119602,180696,150321,88.0,9.35,95,1,1,60.23
119622,180696,150420,88.0,9.35,95,1,1,60.23
119651,180699,150369,88.0,9.35,95,1,1,60.23
119671,180702,150410,88.0,9.35,95,1,1,60.23
119701,180681,150405,88.0,9.35,95,1,1,60.23
119721,180699,150405,88.0,9.35,95,1,1,60.23
119751,180667,150389,88.0,9.35,95,1,1,60.22
119771,180723,150372,88.0,9.35,95,1,1,60.24
119801,180702,150418,88.0,9.35,95,1,1,60.23
119821,180608,150388,88.0,9.35,95,1,1,60.2
119851,180613,150388,88.0,9.35,95,1,1,60.2
119871,180577,150368,88.0,9.35,95,1,1,60.19
119901,180532,150268,88.0,9.35,95,1,1,60.18
119921,180552,150333,88.0,9.35,95,1,1,60.18
119951,180580,150393,88.0,9.35,95,1,1,60.19
119971,180621,150274,88.0,9.35,95,1,1,60.21
120001,180555,150352,88.0,9.35,95,1,1,60.19
120021,180497,150346,88.0,9.35,95,1,1,60.17
120050,180613,150327,88.0,9.35,95,1,1,60.2
120070,180700,150389,88.0,9.35,95,1,1,60.23
120100,180664,150383,88.0,9.35,95,1,1,60.22
120120,180659,150431,88.0,9.35,95,1,1,60.22
120150,180766,150454,88.0,9.35,95,1,1,60.26
120170,180790,150487,88.0,9.35,95,1,1,60.26
120200,180814,150469,88.0,9.35,95,1,1,60.27
120220,180824,150531,88.0,9.35,95,1,1,60.27
120250,180884,150512,88.0,9.35,95,1,1,60.29
120270,180847,150401,88.0,9.35,95,1,1,60.28
120300,180873,150525,88.0,9.35,95,1,1,60.29
120320,180859,150539,88.0,9.35,95,1,1,60.29
120350,180898,150436,88.0,9.35,95,1,1,60.3
120370,180978,150530,88.0,9.35,95,1,1,60.33
120400,180878,150517,88.0,9.35,95,1,1,60.29
120419,180846,150515,88.0,9.35,95,1,1,60.28
120449,180964,150507,88.0,9.35,95,1,1,60.32
120469,180950,150518,88.0,9.35,95,1,1,60.32
120499,180820,150529,88.0,9.35,95,1,1,60.27
120519,180983,150595,88.0,9.35,95,1,1,60.33
120549,180881,150587,88.0,9.35,95,1,1,60.29
120569,181013,150544,88.0,9.35,95,1,1,60.34
120599,181033,150605,88.0,9.35,95,1,1,60.34
120619,181016,150628,88.0,9.35,95,1,1,60.34
120649,180970,150527,88.0,9.35,95,1,1,60.32
120669,180975,150580,88.0,9.35,95,1,1,60.33
120699,180964,150588,88.0,9.35,95,1,1,60.32
120719,180967,150597,88.0,9.35,95,1,1,60.32
120749,180943,150525,88.0,9.35,95,1,1,60.31
120769,180822,150522,88.0,9.35,95,1,1,60.27
120798,180745,150474,88.0,9.35,95,1,1,60.25
120818,180764,150493,88.0,9.35,95,1,1,60.25
120848,180757,150469,88.0,9.35,95,1,1,60.25
120868,180719,150432,88.0,9.35,95,1,1,60.24
120898,180794,150476,88.0,9.35,95,1,1,60.26
120918,180752,150493,88.0,9.35,95,1,1,60.25
120948,180770,150408,88.0,9.35,95,1,1,60.26
120968,180783,150436,88.0,9.35,95,1,1,60.26
120998,180773,150533,88.0,9.35,95,1,1,60.26
121018,180800,150441,88.0,9.35,95,1,1,60.27
121048,180823,150459,88.0,9.35,95,1,1,60.27
121068,180794,150556,88.0,9.35,95,1,1,60.26
121098,180798,150376,88.0,9.35,95,1,1,60.27
121118,180762,150403,88.0,9.35,95,1,1,60.25
121148,180828,150525,88.0,9.35,95,1,1,60.28
121168,180800,150459,88.0,9.35,95,1,1,60.27
121197,180797,150453,88.0,9.35,95,1,1,60.27
121217,180910,150518,88.0,9.35,95,1,1,60.3
121247,180772,150485,88.0,9.35,95,1,1,60.26
121267,180755,150443,88.0,9.35,95,1,1,60.25
121297,180838,150496,88.0,9.35,95,1,1,60.28
121317,180835,150492,88.0,9.35,95,1,1,60.28
121347,180828,150457,88.0,9.35,95,1,1,60.28
121367,180875,150527,88.0,9.35,95,1,1,60.29
121397,180822,150449,88.0,9.35,95,1,1,60.27
121417,180864,150335,88.0,9.35,95,1,1,60.29
