time,ir,red,bpm,hrv,spo2,fingerDetected,hrvReady,beatQuality
119003,180762,150436,140.8,20.8,95.5,1,1,56.5
119023,180656,150453,122.9,16.0,95.4,1,1,72.0
119053,180658,150355,135.4,29.1,98.0,1,1,71.9
119073,180693,150386,120.0,30.5,97.7,1,1,92.9
119103,180719,150416,128.7,33.2,93.4,1,1,58.0
119123,180676,150391,138.1,12.7,97.0,1,1,61.5
119153,180710,150412,142.1,18.6,95.3,1,1,89.5
119173,180730,150362,134.4,22.1,97.6,1,1,63.1
119203,180692,150411,121.3,39.5,96.4,1,1,80.6
119223,180693,150353,135.4,18.8,95.4,1,1,60.9
119253,180701,150381,131.8,13.0,95.4,1,1,88.3
119272,180642,150364,131.4,30.3,94.2,1,1,71.1
119302,180700,150369,131.0,21.5,94.5,1,1,85.2
119322,180707,150428,132.5,23.6,95.9,1,1,68.0
119352,180692,150351,125.8,17.5,95.7,1,1,65.3
119372,180649,150371,133.3,16.4,95.1,1,1,69.0
119402,180723,150373,147.0,24.1,98.2,1,1,73.1
119422,180662,150382,142.0,22.0,93.4,1,1,77.8
119452,180686,150371,144.8,21.1,96.6,1,1,81.6
119472,180652,150449,124.3,26.1,95.7,1,1,66.2
119502,180675,150377,145.5,26.6,98.5,1,1,71.9
119522,180647,150355,139.4,29.0,97.6,1,1,65.3
119552,180684,150429,134.2,26.1,97.0,1,1,80.5
119572,180649,150387,146.0,23.0,95.7,1,1,72.1
119602,180696,150321,132.2,24.3,97.8,1,1,86.0
119622,180696,150420,120.0,25.1,93.3,1,1,80.7
119651,180699,150369,123.1,28.9,96.6,1,1,72.5
119671,180702,150410,143.8,19.6,94.2,1,1,54.5
119701,180681,150405,129.3,19.9,97.5,1,1,64.2
119721,180699,150405,143.0,21.5,95.2,1,1,81.2
119751,180667,150389,128.6,18.3,94.6,1,1,71.1
119771,180723,150372,124.2,24.4,95.3,1,1,73.4
119801,180702,150418,138.3,19.2,95.8,1,1,74.5
119821,180608,150388,129.6,11.6,96.4,1,1,57.6
119851,180613,150388,141.6,25.4,95.7,1,1,69.8
119871,180577,150368,149.0,19.3,94.9,1,1,93.2
119901,180532,150268,134.8,21.8,97.3,1,1,74.1
119921,180552,150333,130.9,11.2,97.3,1,1,71.6
119951,180580,150393,130.2,27.1,96.9,1,1,63.1
119971,180621,150274,139.2,21.5,96.9,1,1,70.2
120001,180555,150352,126.5,19.7,97.3,1,1,64.2
120021,180497,150346,132.0,27.3,98.1,1,1,58.8
120050,180613,150327,137.5,30.1,97.3,1,1,76.2
120070,180700,150389,126.7,19.6,95.0,1,1,72.8
120100,180664,150383,122.1,20.2,97.1,1,1,67.1
120120,180659,150431,130.8,27.8,95.1,1,1,44.3
120150,180766,150454,125.8,24.3,94.9,1,1,62.4
120170,180790,150487,139.3,31.8,96.1,1,1,79.1
120200,180814,150469,127.8,26.2,96.4,1,1,61.6
120220,180824,150531,135.2,21.6,93.3,1,1,76.6
120250,180884,150512,120.5,18.7,94.0,1,1,77.3
120270,180847,150401,127.4,21.0,96.5,1,1,68.5
120300,180873,150525,122.1,15.9,95.7,1,1,65.1
120320,180859,150539,140.3,23.5,96.8,1,1,76.4
120350,180898,150436,130.4,19.2,95.6,1,1,72.2
120370,180978,150530,125.1,30.6,94.4,1,1,71.7
120400,180878,150517,140.4,32.6,96.9,1,1,67.4
120419,180846,150515,136.7,19.1,95.1,1,1,82.6
120449,180964,150507,125.8,23.6,95.3,1,1,71.7
120469,180950,150518,129.6,16.8,93.9,1,1,75.8
120499,180820,150529,120.0,22.2,96.6,1,1,87.9
120519,180983,150595,132.4,18.8,92.7,1,1,76.9
120549,180881,150587,138.6,14.2,99.0,1,1,70.5
120569,181013,150544,122.5,21.5,98.4,1,1,63.8
120599,181033,150605,156.0,30.9,95.1,1,1,74.7
120619,181016,150628,137.1,23.3,94.2,1,1,74.9
120649,180970,150527,144.8,15.6,95.4,1,1,89.4
120669,180975,150580,140.0,10.1,97.1,1,1,80.7
120699,180964,150588,127.1,32.0,93.7,1,1,70.2
120719,180967,150597,143.8,22.7,96.9,1,1,85.5
120749,180943,150525,143.5,16.3,96.4,1,1,59.7
120769,180822,150522,128.2,24.3,95.1,1,1,55.0
120798,180745,150474,150.2,20.5,97.6,1,1,53.6
120818,180764,150493,141.9,23.7,99.0,1,1,63.4
120848,180757,150469,129.3,28.9,94.7,1,1,83.9
120868,180719,150432,122.9,22.2,98.2,1,1,61.3
120898,180794,150476,138.2,25.4,96.4,1,1,75.7
120918,180752,150493,154.1,21.5,97.0,1,1,75.4
120948,180770,150408,123.8,31.8,93.7,1,1,59.7
120968,180783,150436,143.9,14.8,95.3,1,1,83.7
120998,180773,150533,137.3,13.2,95.5,1,1,84.9
121018,180800,150441,133.0,32.7,95.0,1,1,66.2
121048,180823,150459,120.0,16.3,97.1,1,1,76.0
121068,180794,150556,134.8,30.7,98.8,1,1,76.5
121098,180798,150376,133.7,22.4,94.4,1,1,71.7
121118,180762,150403,134.8,16.7,98.0,1,1,80.8
121148,180828,150525,136.2,23.8,92.8,1,1,61.3
121168,180800,150459,141.9,16.0,95.5,1,1,60.5
121197,180797,150453,135.9,15.7,96.5,1,1,55.5
121217,180910,150518,133.1,25.2,97.9,1,1,67.4
121247,180772,150485,147.8,22.4,95.0,1,1,67.6
121267,180755,150443,127.2,25.8,97.3,1,1,76.8
121297,180838,150496,129.5,29.7,95.2,1,1,61.8
121317,180835,150492,141.2,14.5,97.8,1,1,60.6
121347,180828,150457,133.3,19.6,93.9,1,1,76.2
121367,180875,150527,135.7,21.2,92.2,1,1,82.3
121397,180822,150449,130.4,13.6,95.8,1,1,69.5
121417,180864,150335,128.5,33.5,95.5,1,1,70.5
121447,180849,150525,148.0,16.3,97.5,1,1,87.7
121467,180897,150531,122.1,22.0,94.6,1,1,60.4
121497,180917,150416,120.0,23.6,95.7,1,1,49.2
121517,180862,150489,135.8,19.5,97.4,1,1,78.5
121547,180828,150510,136.8,10.7,95.7,1,1,71.7
121566,180859,150500,136.6,22.9,95.7,1,1,72.8
121596,180917,150517,137.4,29.0,94.4,1,1,67.8
121616,180827,150491,133.8,31.4,98.5,1,1,67.9
121646,180669,150418,137.1,24.3,95.4,1,1,74.7
121666,180706,150414,134.8,22.2,97.4,1,1,79.0
121696,180616,150419,136.1,30.2,94.5,1,1,71.1
121716,180596,150382,131.6,17.1,94.8,1,1,76.9
121746,180632,150422,132.4,17.6,95.3,1,1,54.4
121766,180606,150424,140.3,30.7,94.9,1,1,66.4
121796,180581,150323,140.0,20.5,95.1,1,1,43.1
121816,180585,150350,129.6,23.7,98.5,1,1,67.2
121846,180580,150409,127.4,20.3,94.7,1,1,55.1
121866,180635,150310,132.8,19.7,96.0,1,1,46.5
121896,180749,150394,142.2,26.3,94.0,1,1,59.5
121916,180651,150373,127.3,18.1,96.6,1,1,61.0
121945,180599,150304,125.3,21.6,97.5,1,1,67.1
121965,180702,150392,134.7,18.6,96.1,1,1,66.8
121995,180629,150332,120.0,29.6,96.8,1,1,88.7
122015,180516,150363,147.4,25.6,99.0,1,1,69.4
122045,180652,150354,133.9,26.7,98.6,1,1,87.0
122065,180630,150325,139.2,19.5,94.5,1,1,71.0
122095,180609,150306,125.3,25.1,96.1,1,1,59.9
122115,180726,150312,134.9,34.8,95.4,1,1,73.6
122145,180651,150337,128.2,17.2,96.9,1,1,66.9
122165,180615,150265,135.9,19.3,99.0,1,1,66.8
122195,180609,150322,132.3,21.2,98.8,1,1,95.0
122215,180674,150354,127.0,17.7,97.2,1,1,70.4
122245,180700,150284,120.4,16.4,95.3,1,1,62.1
122265,180724,150316,123.6,15.5,95.9,1,1,65.8
122295,180623,150370,141.1,21.6,97.2,1,1,70.8
122314,180634,150351,136.5,18.0,97.3,1,1,56.3
122344,180783,150376,141.5,33.3,96.2,1,1,71.8
122364,180702,150348,129.1,24.0,95.8,1,1,74.0
122394,180734,150379,131.7,23.4,97.7,1,1,76.9
122414,180856,150469,141.4,18.6,98.0,1,1,49.8
122444,180799,150443,136.3,26.0,97.1,1,1,77.2
122464,180784,150400,132.3,26.5,96.8,1,1,77.0
122494,180846,150376,133.0,7.6,95.0,1,1,65.2
122514,180855,150399,143.5,18.1,97.0,1,1,63.7
122544,180857,150381,137.3,31.3,97.6,1,1,61.2
122564,180824,150477,148.8,24.5,96.7,1,1,60.3
122594,180762,150412,129.5,15.4,94.7,1,1,83.1
122614,180706,150375,135.7,20.6,98.9,1,1,66.2
122644,180715,150335,129.4,30.8,97.3,1,1,72.2
122664,180736,150430,148.9,17.1,94.6,1,1,76.1
122693,180595,150373,155.3,24.7,93.2,1,1,72.6
122713,180694,150406,143.9,17.4,96.9,1,1,75.3
122743,180694,150384,148.8,13.7,96.7,1,1,61.1
122763,180690,150383,134.6,24.3,98.3,1,1,78.5
122793,180721,150389,151.1,21.9,95.7,1,1,75.1
122813,180761,150396,122.6,23.8,93.2,1,1,75.1
122843,180731,150336,150.7,22.4,93.7,1,1,79.2
122863,180687,150409,137.0,13.1,94.2,1,1,76.8
122893,180721,150411,138.8,16.7,96.2,1,1,75.6
122913,180748,150348,147.1,20.9,96.9,1,1,59.1
122943,180686,150351,122.3,32.5,97.9,1,1,67.1
122963,180706,150476,125.6,28.2,94.5,1,1,69.1
122993,180723,150372,138.7,21.2,95.7,1,1,68.9
123013,180798,150365,120.0,30.6,95.6,1,1,67.1
123043,180717,150434,138.6,23.7,94.8,1,1,69.7
123063,180747,150407,125.0,16.7,97.4,1,1,53.9
123092,180806,150429,120.0,15.8,94.7,1,1,80.7
123112,180785,150372,139.3,27.8,95.0,1,1,82.4
123142,180757,150370,145.1,29.4,96.2,1,1,66.1
123162,180670,150394,138.4,22.3,96.9,1,1,75.0
123192,180726,150411,140.4,15.4,94.6,1,1,63.7
123212,180791,150434,131.0,20.3,95.3,1,1,55.3
123242,180798,150465,138.3,20.4,95.1,1,1,84.8
123262,180777,150497,121.7,18.1,95.7,1,1,73.5
123292,180736,150344,138.0,22.9,95.2,1,1,63.9
123312,180715,150338,135.1,21.2,96.7,1,1,60.7
123342,180709,150455,136.7,32.3,92.0,1,1,72.9
123362,180696,150393,137.7,14.3,97.9,1,1,76.4
123392,180687,150319,141.0,24.2,97.4,1,1,55.1
123412,180770,150405,160.1,23.6,94.6,1,1,75.5
123442,180617,150342,139.7,22.1,95.2,1,1,71.7
123461,180495,150236,120.0,21.6,99.0,1,1,65.9
123491,180470,150198,139.8,18.6,94.2,1,1,69.8
123511,180431,150225,132.8,20.2,97.1,1,1,66.9
123541,180232,150127,130.7,14.4,93.5,1,1,68.7
123561,180258,150083,133.5,24.3,97.9,1,1,82.3
123591,180227,150010,130.4,38.5,98.8,1,1,57.1
123611,180138,149992,132.8,19.0,94.5,1,1,80.0
123641,180181,150073,138.5,20.3,95.6,1,1,70.6
123661,180098,149988,145.2,15.8,95.8,1,1,73.3
123691,180071,149908,132.8,25.1,95.7,1,1,61.0
123711,180159,150014,140.3,24.2,94.8,1,1,80.9
123741,180128,149974,124.9,19.6,96.9,1,1,77.8
123761,180081,149930,144.6,33.1,95.5,1,1,74.1
123791,180207,149984,135.2,24.4,97.6,1,1,83.9
123811,180108,149944,142.6,18.0,95.9,1,1,41.0
123840,180020,149975,131.3,23.5,96.1,1,1,82.2
123860,180136,149949,121.2,31.9,98.0,1,1,61.0
123890,180142,150005,144.0,18.8,96.1,1,1,70.4
123910,180122,149933,142.3,20.4,97.3,1,1,59.5
123940,180188,150001,146.3,24.3,98.3,1,1,78.4
123960,180255,149996,141.1,25.9,98.3,1,1,82.5
123990,180245,149997,139.4,16.9,94.6,1,1,85.7
124010,180205,149950,145.6,21.1,99.0,1,1,71.6
124040,180279,150043,141.6,20.5,93.0,1,1,59.8
124060,180221,150014,120.0,18.7,93.6,1,1,68.9
124090,180266,150020,152.4,25.1,96.0,1,1,64.8
124110,180330,150208,129.2,24.2,98.0,1,1,73.2
124140,180372,150118,134.0,22.0,97.0,1,1,51.9
124160,180377,150052,126.3,27.4,96.9,1,1,67.0
124190,180477,150111,145.7,23.1,98.9,1,1,68.6
124210,180448,150154,141.9,18.8,97.1,1,1,66.1
124239,180440,150161,129.6,19.4,96.0,1,1,59.0
124259,180586,150242,138.2,23.8,97.1,1,1,72.1
124289,180479,150204,134.2,16.3,96.0,1,1,65.5
124309,180502,150243,165.6,30.0,93.7,1,1,72.0
124339,180506,150188,135.2,19.7,95.9,1,1,69.2
124359,180563,150258,137.1,27.0,97.4,1,1,66.2
124389,180615,150255,120.0,17.6,92.0,1,1,71.1
124409,180531,150341,151.6,22.4,95.9,1,1,62.4
124439,180478,150191,135.6,17.5,94.2,1,1,63.8
124459,180384,150136,120.0,20.9,96.0,1,1,73.0
124489,180428,150257,123.1,33.7,97.5,1,1,86.7
